Biskupija,Dekanat,Zupni_ured,Naziv,Adresa,Mjesto,Latitude,Longitude,Phone,URL
Trebinjsko-mrkanska biskupija,Stolački dekanat,ALADINIĆI,Svi Sveti ,,88367 Crnići,43.12300829,17.86207125,036/862-319,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/aladinici/"" target=""_blank"">ALADINIĆI</a>"
Trebinjsko-mrkanska biskupija,Stolački dekanat,ČELJEVO,Presveto Srce Isusovo ,,88307 Višići,43.0758405,17.72371577,036/815-082,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/celjevo/"" target=""_blank"">ČELJEVO</a>"
Trebinjsko-mrkanska biskupija,Stolački dekanat,DOMANOVIĆI,Sv. Josip Radnik ,,88305 Domanovići,43.13956679,17.78104166,036/822-212,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/domanovici/"" target=""_blank"">DOMANOVIĆI</a>"
Trebinjsko-mrkanska biskupija,Stolački dekanat,DRAČEVO,Uznesenje Blažene Djevice Marije ,,88307 Višići,43.05350637,17.70951396,036/815-123,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/dracevo/"" target=""_blank"">DRAČEVO</a>"
Trebinjsko-mrkanska biskupija,Trebinjski dekanat,GRADAC,Uznesenje Blažene Djevice Marije,,88390 Neum,42.94921352,17.72789778,036/881-151,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/gradac/"" target=""_blank"">GRADAC</a>"
Trebinjsko-mrkanska biskupija,Trebinjski dekanat,HRASNO,"Svetište Kraljice Mira, Bezgrješno začeće BDM",,88390 Neum,42.98557175,17.82237892,036/883-004,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/hrasno/"" target=""_blank"">HRASNO</a>"
Trebinjsko-mrkanska biskupija,Trebinjski dekanat,HUTOVO,Krist Kralj,,88390 Neum,42.95713141,17.81076834,036/882-051,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/hutovo/"" target=""_blank"">HUTOVO</a>"
Trebinjsko-mrkanska biskupija,Trebinjski dekanat,NEUM,Gospa od Zdravlja,Trg Gospe od Zdravlja 1,88390 Neum,42.92837515,17.6214328,036/880-048,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/neum/"" target=""_blank"">NEUM</a>"
Trebinjsko-mrkanska biskupija,Stolački dekanat,PRENJ,Sv. Mihovil Arkanđeo ,,88367 Crnići,43.11492168,17.84371687,036/862-309,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/prenj/"" target=""_blank"">PRENJ</a>"
Trebinjsko-mrkanska biskupija,Trebinjski dekanat,RAVNO,Rođenje Blažene Djevice Marije ,,88370 Ravno,42.88817167,17.9660288,036/810-475,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/ravno/"" target=""_blank"">RAVNO</a>"
Trebinjsko-mrkanska biskupija,Stolački dekanat,ROTIMLJA,Sv. Petar i Pavao,,88368 Hodovo,43.17822771,17.90529628,036/861-120,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/rotimlja/"" target=""_blank"">ROTIMLJA</a>"
Trebinjsko-mrkanska biskupija,Stolački dekanat,STJEPAN KRST,Sv. Ivan Krstitelj ,,88368 Hodovo,43.17572935,17.97257825,036/861-120,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/stjepan-krst/"" target=""_blank"">STJEPAN KRST</a>"
Trebinjsko-mrkanska biskupija,Stolački dekanat,STOLAC,Sv. Ilija Prorok ,Zrinsko-Frankopanska b.b.,88360 Stolac,43.07884212,17.95839068,036/853-005,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/stolac/"" target=""_blank"">STOLAC</a>"
Trebinjsko-mrkanska biskupija,Trebinjski dekanat,TREBINJA,Uznesenje Blažene Djevice Marije ,,88370 Ravno,42.88400702,17.87268007,036/810-475,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/trebinja/"" target=""_blank"">TREBINJA</a>"
Trebinjsko-mrkanska biskupija,Trebinjski dekanat,TREBINJE - KATEDRALA,Rođenje Blažene Djevice Marije ,,89101 Trebinje,42.7108886,18.34502793,059/270-560,"<a href=""https://biskupija-mostar.ba/zupni_ured_tm/trebinje-katedrala/"" target=""_blank"">TREBINJE - KATEDRALA</a>"